資料日期,證券代號,證券名稱,暫停現股賣出後現款買進當沖註記
1150609,5548,安倉,
1150609,5601,台聯櫃,
1150609,5603,陸海,
1150609,5604,中連,
1150609,5609,中菲行,
1150609,5704,老爺知,
1150609,5864,致和證,
1150609,5902,德記,
1150609,5903,全家,
1150609,5904,寶雅,
1150609,6015,宏遠證,
1150609,6016,康和證,
1150609,6020,大展證,
1150609,6021,美好證,
1150609,6023,元大期,
1150609,6026,福邦證,
1150609,6101,寬魚國際,
1150609,6103,合邦,
1150609,6104,創惟,
1150609,6111,光聚晶電,
1150609,6113,亞矽,
1150609,6114,久威,
1150609,6118,建達,
1150609,6121,新普,
1150609,6122,擎邦,
1150609,6123,上奇,
1150609,6124,業強,
1150609,6125,廣運,
1150609,6126,信音,
1150609,6127,九豪,
1150609,6130,上亞科技,
1150609,6134,萬旭,
1150609,6138,茂達,
1150609,6143,振曜,
1150609,6146,耕興,＊
1150609,6147,頎邦,
1150609,6148,驊宏資,
1150609,6150,撼訊,
1150609,6151,晉倫,
1150609,6154,順發,
1150609,6156,松上,
1150609,6158,禾昌,
1150609,6161,捷波,
1150609,6163,華電網,
1150609,6167,久正,
1150609,6170,統振,
1150609,6171,大城地產,
1150609,6174,安碁,
1150609,6175,立敦,
1150609,6179,亞通,
1150609,6180,橘子,
1150609,6185,幃翔,
1150609,6186,新潤,
1150609,6187,萬潤,
1150609,6188,廣明,
1150609,6190,萬泰科,
1150609,6194,育富,
1150609,6195,詩肯,
1150609,6199,天品,
1150609,6203,海韻電,
1150609,6204,艾華,
1150609,6207,雷科,
1150609,6208,日揚,
1150609,6212,理銘,
1150609,6217,中探針,
1150609,6218,豪勉,
1150609,6219,富旺,
1150609,6220,岳豐,
1150609,6221,晉泰,
1150609,6222,立軒,
1150609,6223,旺矽,
1150609,6227,茂綸,
1150609,6229,研通,
1150609,6231,系微,
1150609,6233,旺玖,
1150609,6234,高僑,
1150609,6237,驊訊,
1150609,6240,松崗,
1150609,6244,茂迪,
1150609,6245,立端,
1150609,6246,臺龍,
1150609,6248,沛波,
1150609,6259,百徽,
1150609,6261,久元,
1150609,6263,普萊德,
