canonical_family,symbol,date,value,source,unit,frequency,description,route,vdf_mapping_gate,vdf_mapping_policy,vdf_target_table,vdf_seeded_at,vdf_original_row_hash,_vdf_overlap_existing,_vdf_dryrun_action,_vdf_dryrun_policy,_vdf_dryrun_at,_vdf_smart_remap_gate,_vdf_smart_remap_policy,_vdf_smart_remap_at,_vdf_smart_row_hash
VDF_Global_Commodity,STEEL,2026-04-07,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,9f5fc2cf52c86435,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,9998fad5984457e3
VDF_Global_Commodity,STEEL,2026-04-08,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,f632e2eaede1bb5f,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,9e6930b7664a3ec3
VDF_Global_Commodity,STEEL,2026-04-09,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,51bc4ad097cb9d24,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,21258d859b681a47
VDF_Global_Commodity,STEEL,2026-04-10,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,9d11d180293623af,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,be5eb987393fcca1
VDF_Global_Commodity,STEEL,2026-04-11,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,a8380275186e8229,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,b2ebf0b774967b05
VDF_Global_Commodity,STEEL,2026-04-12,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,41bd59213f7741b8,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,ce5c10799c8e8abc
VDF_Global_Commodity,STEEL,2026-04-13,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,da76094cf64d3b45,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,beaab76416066a4e
VDF_Global_Commodity,STEEL,2026-04-14,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,fcfa21e569e7c3a5,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,39d81da84fceab1a
VDF_Global_Commodity,STEEL,2026-04-15,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,edfec6429754fa01,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,8e1216e5221e4ffa
VDF_Global_Commodity,STEEL,2026-04-16,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,ac042e70ac8b8d69,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,3daa09ab802d9d12
VDF_Global_Commodity,STEEL,2026-04-17,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,0dbc5e25a9bc6d2c,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,3129538c4a87f329
VDF_Global_Commodity,STEEL,2026-04-18,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,27facf1c0a1e1d03,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,e5180e8ff73e1ef3
VDF_Global_Commodity,STEEL,2026-04-19,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,ea30de9dd6a37bf9,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,9ac743b4eaf78ce8
VDF_Global_Commodity,STEEL,2026-04-20,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,27933be90d9ebe4a,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,3f3a374d59b6e951
VDF_Global_Commodity,STEEL,2026-04-21,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,46d92f1ada391788,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,77c4d33e5bf61f27
VDF_Global_Commodity,STEEL,2026-04-22,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,f91a63abba8cc482,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,2e4a3c1dbe4d85e3
VDF_Global_Commodity,STEEL,2026-04-23,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,d16c5ff1bd674378,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,d9c55000ec5b0ff2
VDF_Global_Commodity,STEEL,2026-04-24,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,26bc57ad9cbd1f3c,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,3effb2a70c3da77a
VDF_Global_Commodity,STEEL,2026-04-25,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,de568d4a5dac8ce2,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,7e3c42478a841c10
VDF_Global_Commodity,STEEL,2026-04-26,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,f5988f66b272629e,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,b509716d0d6f952c
VDF_Global_Commodity,STEEL,2026-04-27,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,91475892ffe9d810,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,b3859f417a215ae8
VDF_Global_Commodity,STEEL,2026-04-28,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,891e352b8da62a27,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,062a8a33eb3cee80
VDF_Global_Commodity,STEEL,2026-04-29,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,30304b5d6940e0a4,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,8c1e93532238c6c3
VDF_Global_Commodity,STEEL,2026-04-30,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,51ed4ea967d80607,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,c7801d5096d0bf3a
VDF_Global_Commodity,STEEL,2026-05-01,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,5788f3c7b6f2f13c,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,410cec504a270dc1
VDF_Global_Commodity,STEEL,2026-05-02,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,d9615ec1503895fc,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,2c87d406fb13801b
VDF_Global_Commodity,STEEL,2026-05-03,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,5fea67218864f25a,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,2611cfc7e370bd47
VDF_Global_Commodity,STEEL,2026-05-04,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,94c5e739c0423990,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,fa98eb935a57d653
VDF_Global_Commodity,STEEL,2026-05-05,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,3a7550f068ef5492,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,4f33103c268a229b
VDF_Global_Commodity,STEEL,2026-05-06,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,46671818c77893a3,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,5fe410284f460372
VDF_Global_Commodity,STEEL,2026-05-07,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,84d7630c6f8767a6,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,7bf8dfeb3499836e
VDF_Global_Commodity,STEEL,2026-05-08,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,647c9578f60e4982,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,0582a835ab34621c
VDF_Global_Commodity,STEEL,2026-05-09,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,4d725fc1c1b4b54e,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,4a616eead04225a6
VDF_Global_Commodity,STEEL,2026-05-10,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,d9111cc55c60a669,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,3eb39f57bcddf040
VDF_Global_Commodity,STEEL,2026-05-11,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,3fa543a12d9a8639,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,22195f92aebd75e8
VDF_Global_Commodity,STEEL,2026-05-12,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,30bed848daa09b96,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,b0eb1220aa215c11
VDF_Global_Commodity,STEEL,2026-05-13,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,a9ff9b19c708de0a,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,6d6a37cdeaacfcdf
VDF_Global_Commodity,STEEL,2026-05-14,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,b16a301dee35ed47,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,b4e11f9f9d1220fa
VDF_Global_Commodity,STEEL,2026-05-15,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,a585105d016aa2de,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,8f67a57301a01c6a
VDF_Global_Commodity,STEEL,2026-05-16,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,104addbe1f270dec,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,0e44cc4e4d99ba07
VDF_Global_Commodity,STEEL,2026-05-17,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,d4e02c8ad0b90374,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,85175d52584af4a2
VDF_Global_Commodity,STEEL,2026-05-18,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,fefcd372d469ffda,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,7e7096c9be677baf
VDF_Global_Commodity,STEEL,2026-05-19,2026,stock_hk_hot_rank_detail_em,,,STEEL,,v027.7,PREVIEW_ONLY_NO_DATABASE_WRITE,VDF_Global_Commodity_AkShare_Candidate,2026-06-10 14:58:16,a150ab7061c116e0,False,ADD_CANDIDATE,DRYRUN_ONLY_NO_DATABASE_WRITE,2026-06-10 22:07:05,v027.8.1.1,SMART_REMAP_PREVIEW_ONLY_NO_DATABASE_WRITE,2026-06-10 22:15:01,c2f64d11c6a065e6
