"Layer","Category","Decision","Risk","Action","Path","Bytes","Size","FileCount","Reason"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_20260602_052456\ARCHIVE\module\VDF\_fx_rates_beta_runs\latest_adj_tw\rolling_beta.csv","939383891","895.87 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_061318\ARCHIVE\module\VDF\_fx_rates_beta_runs\latest_adj_tw\rolling_beta.csv","939383891","895.87 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_092700\ARCHIVE\module\VDF\_fx_rates_beta_runs\latest_rewrite\rolling_beta.csv","786649613","750.21 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_20260602_052456\ARCHIVE\module\VDF\_fx_rates_beta_runs\latest_rewrite\rolling_beta.csv","786649613","750.21 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_055208\ARCHIVE\module\VDF\_fx_rates_beta_runs\latest_rewrite\rolling_beta.csv","786649613","750.21 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_091358\ARCHIVE\module\VDF\_fx_rates_beta_runs\latest_rewrite\rolling_beta.csv","786649613","750.21 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_054737\ARCHIVE\module\VDF\_fx_rates_beta_runs\latest_rewrite\rolling_beta.csv","786649613","750.21 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_061318\ARCHIVE\module\VDF\_fx_rates_beta_runs\latest_rewrite\rolling_beta.csv","786649613","750.21 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VDF\_fx_rates_beta_runs\latest_rewrite\rolling_beta.csv","786649613","750.21 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\桌面\tw_stock\TAData.csv","651179658","621.01 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\桌面\tw_stock_output\ta_analysis\technical_analysis\technical_analysis_20250117_205033.csv","609018628","580.81 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
