"path","ok","status","exit_code","error"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VeritasAutoPlot\html_template\13\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VeritasAutoPlot\html_template\13\data.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VeritasAutoPlot\html_template\2\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VeritasAutoPlot\html_template\3\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VeritasAutoPlot\html_template\3\data.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VeritasAutoPlot\html_template\4\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VeritasAutoPlot\html_template\5\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VeritasAutoPlot\html_template\6\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VeritasAutoPlot\html_template\7\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VeritasAutoPlot\html_template\8\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VeritasAutoPlot\html_template\8\data.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VeritasAutoPlot\html_template\8\stats.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VeritasAutoPlot\html_template\9\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VeritasAutoPlot\html_template\SCOTUS_Analytics_Dashboard\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\1\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\10\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\11\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\12\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\13\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\13\data.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\2\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\3\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\3\data.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\4\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\5\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\6\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\7\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\8\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\8\data.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\8\stats.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\9\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\SCOTUS Analytics Dashboard\app.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_gonow_runs\VRN_GO_NOW_20260508_005744\launcher_status.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_gonow_runs\VRN_GO_NOW_20260508_010443\launcher_status.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_gonow_runs\VRN_GO_NOW_20260509_212233\launcher_status.js","True","OK_NODE_CHECK","0",""
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_gonow_runs\VRN_GO_NOW_20260509_213445\launcher_status.js","True","OK_NODE_CHECK","0",""
