"Time","Round","Layer","Name","Status","Risk","FixClass","Metric","Value","Message","Path"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VAP-Warehouse-V7-Quant-Refresh.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\_output\VAP_WAREHOUSE_V7_QUANT_20260507_104041\Invoke-VAP-Warehouse-V7-Quant-Refresh.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","VAP_Launcher.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VAP_Launcher.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","VIA_VEGN_Step1_v32.ps1","FAIL","HIGH","SEQUENTIAL_REQUIRED","ast_parse","119","Missing ')' in method call.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VAP\VIA_VEGN_Step1_v32.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VIA-ActivationGateway-Hardened.ps1","OK","LOW","DEPRECATED_HISTORICAL_IGNORE","ast_parse","ignored","Deprecated historical gateway. Not a production blocker.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V02_GATEWAY_HOTFIX_20260609_035258\gateway\Invoke-VIA-ActivationGateway-Hardened.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VIA-ActivationGateway-Stable.ps1","OK","LOW","DEPRECATED_HISTORICAL_IGNORE","ast_parse","ignored","Deprecated historical gateway. Not a production blocker.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V03_STABLE_HOTFIX_20260609_035508\gateway\Invoke-VIA-ActivationGateway-Stable.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VIA-ActivationGateway-InlineReady.ps1","OK","LOW","DEPRECATED_HISTORICAL_IGNORE","ast_parse","ignored","Deprecated historical gateway. Not a production blocker.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V04_INLINE_READY_20260609_035734\gateway\Invoke-VIA-ActivationGateway-InlineReady.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VIA-ActivationGateway-ParamFirst.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V05_PARAM_FIRST_FINAL_20260609_040014\gateway\Invoke-VIA-ActivationGateway-ParamFirst.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VIA-UnifiedInputGateway.ps1","OK","LOW","DEPRECATED_HISTORICAL_IGNORE","ast_parse","ignored","Deprecated historical gateway. Not a production blocker.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\_freeze\VIA_UNIFIED_INPUT_SSOT_FREEZE_GATEWAY_20260609_034130\gateway\Invoke-VIA-UnifiedInputGateway.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","VRN_MDL188_VRN-AllInOne__REPORT__v0_0.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL188_VRN-AllInOne__REPORT__v0_0.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","VRN_MDL189_run_vrn_boot_purge_temp_first__MODULE__v0_0.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL189_run_vrn_boot_purge_temp_first__MODULE__v0_0.ps1"
