"category","path","mode","risk","reason","action"
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-ALL.ps1","SEQUENTIAL_GATED","HIGH","Risk signal detected: Remove-Item","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-FinishProject-SafeFast.ps1","SEQUENTIAL_GATED","HIGH","Risk signal detected: Stop-Process","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-FinishProject-SafeFast.ps1","SEQUENTIAL_GATED","HIGH","Risk signal detected: Remove-Item","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-PanoramaHardGateSafeFix.ps1","SEQUENTIAL_GATED","HIGH","Risk signal detected: Stop-Process","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-PanoramaHardGateSafeFix.ps1","SEQUENTIAL_GATED","HIGH","Risk signal detected: Remove-Item","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VRN-MQ-NoOCR-Staging-v222.ps1","SEQUENTIAL_GATED","MEDIUM","Risk signal detected: canonical","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_BrokerAlias_Compatibility_v0222.py","SEQUENTIAL_GATED","MEDIUM","Risk signal detected: canonical","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_BrokerAlias_Extension_v0224.py","SEQUENTIAL_GATED","MEDIUM","Risk signal detected: canonical","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_BrokerAnalystAdapters_v06146.py","SEQUENTIAL_GATED","MEDIUM","Risk signal detected: canonical","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_FinancialRescueRules_v06126.py","SEQUENTIAL_GATED","MEDIUM","Risk signal detected: canonical","Review gate before any execution."
"Risk Signal","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_FinancialSSOT_v05910.py","SEQUENTIAL_GATED","MEDIUM","Risk signal detected: canonical","Review gate before any execution."
