"Family","FamilyRank","Action","Reason","Path","Name","Bytes","Size","FileCount","SizeScanCapped","LastWriteTime","AgeHours","Protected","Status","Message"
"RUN_TS_package_gate_reclass_vX","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\_preseal_runs\RUN_20260607_215729_PACKAGE_GATE_RECLASS_v03","RUN_20260607_215729_PACKAGE_GATE_RECLASS_v03","1664836","1.59 MB","7","False","2026/6/7 下午 09:57:37","215.02","False","PENDING",""
"via_activeetf_system_deploy_safe_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Desktop\VeritasIntelligenceAnalytics\_packages\VIA_ActiveETF_SYSTEM_DEPLOY_SAFE_20260603_012241","VIA_ActiveETF_SYSTEM_DEPLOY_SAFE_20260603_012241","1617548","1.54 MB","7","False","2026/6/3 上午 01:28:38","331.5","False","PENDING",""
"via_activeetf_product_hardening_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Desktop\VeritasIntelligenceAnalytics\_packages\VIA_ActiveETF_PRODUCT_HARDENING_20260603_014548","VIA_ActiveETF_PRODUCT_HARDENING_20260603_014548","1530779","1.46 MB","8","False","2026/6/3 上午 02:42:00","330.28","False","PENDING",""
"via_step3b_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_unified_runs\VIA_STEP3B_20260417_220746","VIA_STEP3B_20260417_220746","1450158","1.38 MB","17","False","2026/4/23 上午 02:13:31","1314.76","False","PENDING",""
"via_activeetf_sharepack_TS","3","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Desktop\VeritasIntelligenceAnalytics\_packages\VIA_ActiveETF_SharePack_20260603_163007","VIA_ActiveETF_SharePack_20260603_163007","1285119","1.23 MB","7","False","2026/6/3 下午 04:59:15","315.99","False","PENDING",""
"via_activeetf_sharepack_TS","2","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Desktop\VeritasIntelligenceAnalytics\_packages\VIA_ActiveETF_SharePack_20260603_160336","VIA_ActiveETF_SharePack_20260603_160336","1285119","1.23 MB","8","False","2026/6/3 下午 04:59:15","315.99","False","PENDING",""
"via_activeetf_sharepack_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Desktop\VeritasIntelligenceAnalytics\_packages\VIA_ActiveETF_SharePack_20260603_160731","VIA_ActiveETF_SharePack_20260603_160731","1285119","1.23 MB","8","False","2026/6/3 下午 09:10:18","311.81","False","PENDING",""
"via_faultpoint_all_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_faultpoint_runs\VIA_FAULTPOINT_ALL_20260425_154336","VIA_FAULTPOINT_ALL_20260425_154336","1215322","1.16 MB","20","False","2026/4/25 下午 03:45:07","1253.23","False","PENDING",""
"_backup_TS","2","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VDF\_backup_20260422_162635","_backup_20260422_162635","1180414","1.13 MB","24","False","2026/4/22 下午 04:26:48","1324.53","False","PENDING",""
"_backup_TS","3","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VDF\_backup_20260422_161545","_backup_20260422_161545","1180414","1.13 MB","24","False","2026/4/22 下午 04:15:46","1324.72","False","PENDING",""
